,URL,NameResort,Stars,Km Freeride
71,http://www.skiresort.info/ski-resort/latemar-obereggenpampeagopredazzo/, Latemar – Obereggen/Pampeago/Predazzo,4,0.0
72,http://www.skiresort.info/ski-resort/gitschberg-jochtal/, Gitschberg Jochtal,4,0.0
73,http://www.skiresort.info/ski-resort/hochoetz-oetz/, Hochoetz – Oetz,4,3.5
74,http://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/, Wildkogel – Neukirchen/Bramberg,4,2.0
75,http://www.skiresort.info/ski-resort/lermoos-grubigstein/, Lermoos – Grubigstein,4,1.7
76,http://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/, Nauders am Reschenpass – Bergkastel,4,11.0
77,http://www.skiresort.info/ski-resort/val-gardena-groeden/, Val Gardena (Gröden),4,0.0
78,http://www.skiresort.info/ski-resort/sonnenkopf-kloesterle/, Sonnenkopf – Klösterle,4,4.0
79,http://www.skiresort.info/ski-resort/elm-im-sernftal/, Elm im Sernftal,4,2.0
80,http://www.skiresort.info/ski-resort/see/, See,4,0.0
81,http://www.skiresort.info/ski-resort/pizol-bad-ragazwangs/, Pizol – Bad Ragaz/Wangs,4,3.5
82,http://www.skiresort.info/ski-resort/loser-altaussee/, Loser – Altaussee,4,0.0
83,http://www.skiresort.info/ski-resort/bansko/, Bansko,4,0.0
84,http://www.skiresort.info/ski-resort/borovets/, Borovets,4,0.0
85,http://www.skiresort.info/ski-resort/garmisch-classic-garmisch-partenkirchen/, Garmisch-Classic – Garmisch-Partenkirchen,4,3.0
86,http://www.skiresort.info/ski-resort/kopaonik/, Kopaonik,4,0.0
87,http://www.skiresort.info/ski-resort/kolasin-1450kolasin-1600/, Kolašin 1450/Kolašin 1600,4,0.0
88,http://www.skiresort.info/ski-resort/speikboden-skiworld-ahrntal/, Speikboden – Skiworld Ahrntal,4,0.0
89,http://www.skiresort.info/ski-resort/klausberg-skiworld-ahrntal/, Klausberg – Skiworld Ahrntal,4,0.0
90,http://www.skiresort.info/ski-resort/golm/, Golm,4,3.2
91,http://www.skiresort.info/ski-resort/nebelhorn-oberstdorf/, Nebelhorn – Oberstdorf,4,0.9
92,http://www.skiresort.info/ski-resort/la-molinamasella-alp2500/, La Molina/Masella – Alp2500,4,0.0
93,http://www.skiresort.info/ski-resort/les-angles/, Les Angles,4,0.0
94,http://www.skiresort.info/ski-resort/peyragudes/, Peyragudes,4,0.0
95,http://www.skiresort.info/ski-resort/cerler/, Cerler,4,0.0
96,http://www.skiresort.info/ski-resort/kuehtai/, Kühtai,4,0.0
97,http://www.skiresort.info/ski-resort/3-zinnen-dolomites-helmstiergartenrotwandkreuzbergpass/, 3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass,4,0.0
98,http://www.skiresort.info/ski-resort/scuol-motta-naluns/, Scuol – Motta Naluns,4,0.0
99,http://www.skiresort.info/ski-resort/stubai-glacier-stubaier-gletscher/, Stubai Glacier (Stubaier Gletscher),4,0.0
100,http://www.skiresort.info/ski-resort/hintertux-glacier-hintertuxer-gletscher/, Hintertux Glacier (Hintertuxer Gletscher),4,0.0
101,http://www.skiresort.info/ski-resort/riksgraensen/, Riksgränsen,4,0.0
102,http://www.skiresort.info/ski-resort/fjaellby-bjoerkliden/, Fjällby – Björkliden,4,0.0
103,http://www.skiresort.info/ski-resort/hoch-ybrig-unteribergoberiberg/, Hoch-Ybrig – Unteriberg/Oberiberg,4,5.0
104,http://www.skiresort.info/ski-resort/stoos-fronalpstockklingenstock/, Stoos – Fronalpstock/Klingenstock,4,2.0
105,http://www.skiresort.info/ski-resort/madrisa-davos-klosters/, Madrisa (Davos Klosters),4,3.9
106,http://www.skiresort.info/ski-resort/gruesch-danusa/, Grüsch Danusa,4,0.0
107,http://www.skiresort.info/ski-resort/bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel/, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,4,1.3
108,http://www.skiresort.info/ski-resort/ifen/, Ifen,4,1.2
109,http://www.skiresort.info/ski-resort/bad-kleinkirchheim/, Bad Kleinkirchheim,4,5.0
110,http://www.skiresort.info/ski-resort/plose-brixen-bressanone/, Plose – Brixen (Bressanone),4,0.0
